,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,Target
17,<0,30,no credits taken,business,8072,no,< 1 year,2,male single,none,3,car or other,25,bank,own,3,skilled employee / official,1,none,yes,1
18,<200,24,existing credits paid back duly till now,car (used),12579,<100,>= 7 years,4,female divorced/separated/married,none,2,no,44,none,for free,1,management/ highly qualified employee,1,yes,yes,0
19,no,24,existing credits paid back duly till now,radio/television,3430,<1000,>= 7 years,3,male single,none,2,car or other,31,none,own,1,skilled employee / official,2,yes,yes,1
20,no,9,critical account,car (new),2134,<100,1 <= < 4 years,4,male single,none,4,car or other,48,none,own,3,skilled employee / official,1,yes,yes,1
21,<0,6,existing credits paid back duly till now,radio/television,2647,<1000,1 <= < 4 years,2,male single,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes,1
22,<0,10,critical account,car (new),2241,<100,< 1 year,1,male single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,1
23,<200,12,critical account,car (used),1804,<500,< 1 year,3,male single,none,4,savings agreement/life insurance,44,none,own,1,skilled employee / official,1,none,yes,1
24,no,10,critical account,furniture/equipment,2069,no,1 <= < 4 years,2,male married/widowed,none,1,car or other,26,none,own,2,skilled employee / official,1,none,no,1
25,<0,6,existing credits paid back duly till now,furniture/equipment,1374,<100,1 <= < 4 years,1,male single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,1
26,no,6,no credits taken,radio/television,426,<100,>= 7 years,4,male married/widowed,none,4,car or other,39,none,own,1,unskilled - resident,1,none,yes,1
27,>200,12,all credits at this bank paid back duly,radio/television,409,>1000,1 <= < 4 years,3,female divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,none,yes,1
28,<200,7,existing credits paid back duly till now,radio/television,2415,<100,1 <= < 4 years,3,male single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,none,yes,1
29,<0,60,delay in paying off,business,6836,<100,>= 7 years,3,male single,none,4,no,63,none,own,2,skilled employee / official,1,yes,yes,0
30,<200,18,existing credits paid back duly till now,business,1913,>1000,< 1 year,3,male married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,yes,yes,1
31,<0,24,existing credits paid back duly till now,furniture/equipment,4020,<100,1 <= < 4 years,2,male single,none,2,car or other,27,store,own,1,skilled employee / official,1,none,yes,1
32,<200,18,existing credits paid back duly till now,car (new),5866,<500,1 <= < 4 years,2,male single,none,2,car or other,30,none,own,2,skilled employee / official,1,yes,yes,1
33,no,12,critical account,business,1264,no,>= 7 years,4,male single,none,4,no,57,none,rent,1,unskilled - resident,1,none,yes,1
34,>200,12,existing credits paid back duly till now,furniture/equipment,1474,<100,< 1 year,4,female divorced/separated/married,none,1,savings agreement/life insurance,33,bank,own,1,management/ highly qualified employee,1,yes,yes,1
35,<200,45,critical account,radio/television,4746,<100,< 1 year,4,male single,none,2,savings agreement/life insurance,25,none,own,2,unskilled - resident,1,none,yes,0
36,no,48,critical account,education,6110,<100,1 <= < 4 years,1,male single,none,3,no,31,bank,for free,1,skilled employee / official,1,yes,yes,1
37,>200,18,existing credits paid back duly till now,radio/television,2100,<100,1 <= < 4 years,4,male single,co-applicant,2,real estate,37,store,own,1,skilled employee / official,1,none,yes,0
38,>200,10,existing credits paid back duly till now,domestic appliances,1225,<100,1 <= < 4 years,2,male single,none,2,car or other,37,none,own,1,skilled employee / official,1,yes,yes,1
39,<200,9,existing credits paid back duly till now,radio/television,458,<100,1 <= < 4 years,4,male single,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes,1
40,no,30,existing credits paid back duly till now,radio/television,2333,<1000,>= 7 years,4,male single,none,2,car or other,30,bank,own,1,management/ highly qualified employee,1,none,yes,1
41,<200,12,existing credits paid back duly till now,radio/television,1158,<1000,1 <= < 4 years,3,male divorced/separated,none,1,car or other,26,none,own,1,skilled employee / official,1,yes,yes,1
42,<200,18,delay in paying off,repairs,6204,<100,1 <= < 4 years,2,male single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,1
43,<0,30,critical account,car (used),6187,<500,4 <= < 7 years,1,male married/widowed,none,4,car or other,24,none,rent,2,skilled employee / official,1,none,yes,1
44,<0,48,critical account,car (used),6143,<100,>= 7 years,4,female divorced/separated/married,none,4,no,58,store,for free,2,unskilled - resident,1,none,yes,0
45,no,11,critical account,car (new),1393,<100,< 1 year,4,female divorced/separated/married,none,4,car or other,35,none,own,2,management/ highly qualified employee,1,none,yes,1
46,no,36,existing credits paid back duly till now,radio/television,2299,<1000,>= 7 years,4,male single,none,4,car or other,39,none,own,1,skilled employee / official,1,none,yes,1
47,<0,6,existing credits paid back duly till now,car (used),1352,<1000,unemployed,1,female divorced/separated/married,none,2,savings agreement/life insurance,23,none,rent,1,unemployed/ unskilled  - non-resident,1,yes,yes,1
48,no,11,critical account,car (new),7228,<100,1 <= < 4 years,1,male single,none,4,savings agreement/life insurance,39,none,own,2,unskilled - resident,1,none,yes,1
49,no,12,existing credits paid back duly till now,radio/television,2073,<500,1 <= < 4 years,4,female divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,1
50,<200,24,delay in paying off,furniture/equipment,2333,no,< 1 year,4,male single,none,2,savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,none,yes,1
51,<200,27,delay in paying off,car (used),5965,<100,>= 7 years,1,male single,none,2,car or other,30,none,own,2,management/ highly qualified employee,1,yes,yes,1
52,no,12,existing credits paid back duly till now,radio/television,1262,<100,1 <= < 4 years,3,male single,none,2,car or other,25,none,own,1,skilled employee / official,1,none,yes,1
53,no,18,existing credits paid back duly till now,car (used),3378,no,1 <= < 4 years,2,male single,none,1,savings agreement/life insurance,31,none,own,1,skilled employee / official,1,yes,yes,1
54,<200,36,delay in paying off,car (new),2225,<100,>= 7 years,4,male single,none,4,no,57,bank,for free,2,skilled employee / official,1,yes,yes,0
55,no,6,all credits at this bank paid back duly,car (new),783,no,1 <= < 4 years,1,male single,guarantor,2,real estate,26,store,own,1,unskilled - resident,2,none,yes,1
56,<200,12,existing credits paid back duly till now,radio/television,6468,no,unemployed,2,male single,none,1,no,52,none,own,1,management/ highly qualified employee,1,yes,yes,0
57,no,36,critical account,radio/television,9566,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,car or other,31,store,own,2,skilled employee / official,1,none,yes,1
58,>200,18,existing credits paid back duly till now,car (new),1961,<100,>= 7 years,3,female divorced/separated/married,none,2,car or other,23,none,own,1,management/ highly qualified employee,1,none,yes,1
59,<0,36,critical account,furniture/equipment,6229,<100,< 1 year,4,female divorced/separated/married,co-applicant,4,no,23,none,rent,2,unskilled - resident,1,yes,yes,0
60,<200,9,existing credits paid back duly till now,business,1391,<100,1 <= < 4 years,2,male married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,yes,yes,1
61,<200,15,critical account,radio/television,1537,no,>= 7 years,4,male single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,yes,yes,1
62,<200,36,no credits taken,business,1953,<100,>= 7 years,4,male single,none,4,no,61,none,for free,1,management/ highly qualified employee,1,yes,yes,0
63,<200,48,no credits taken,business,14421,<100,1 <= < 4 years,2,male single,none,2,car or other,25,none,own,1,skilled employee / official,1,yes,yes,0
64,no,24,existing credits paid back duly till now,radio/television,3181,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,26,none,own,1,skilled employee / official,1,yes,yes,1
65,no,27,existing credits paid back duly till now,repairs,5190,no,>= 7 years,4,male single,none,4,savings agreement/life insurance,48,none,own,4,skilled employee / official,2,yes,yes,1
66,no,12,existing credits paid back duly till now,radio/television,2171,<100,< 1 year,2,female divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee / official,1,none,yes,1
67,<200,12,existing credits paid back duly till now,car (new),1007,>1000,1 <= < 4 years,4,male married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,1
68,no,36,existing credits paid back duly till now,education,1819,<100,1 <= < 4 years,4,male single,none,4,no,37,store,for free,1,skilled employee / official,1,yes,yes,0
69,no,36,existing credits paid back duly till now,radio/television,2394,no,1 <= < 4 years,4,female divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee / official,1,none,yes,1
70,no,36,existing credits paid back duly till now,car (used),8133,<100,1 <= < 4 years,1,female divorced/separated/married,none,2,savings agreement/life insurance,30,bank,own,1,skilled employee / official,1,none,yes,1
71,no,7,critical account,radio/television,730,no,>= 7 years,4,male single,none,2,savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,1
72,<0,8,critical account,others,1164,<100,>= 7 years,3,male single,none,4,no,51,bank,for free,2,management/ highly qualified employee,2,yes,yes,1
73,<200,42,critical account,business,5954,<100,4 <= < 7 years,2,female divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes,1
74,<0,36,existing credits paid back duly till now,education,1977,no,>= 7 years,4,male single,none,4,no,40,none,own,1,management/ highly qualified employee,1,yes,yes,0
75,<0,12,critical account,car (used),1526,<100,>= 7 years,4,male single,none,4,no,66,none,for free,2,management/ highly qualified employee,1,none,yes,1
76,<0,42,existing credits paid back duly till now,radio/television,3965,<100,< 1 year,4,male single,none,3,car or other,34,none,own,1,skilled employee / official,1,none,yes,0
77,<200,11,delay in paying off,radio/television,4771,<100,4 <= < 7 years,2,male single,none,4,savings agreement/life insurance,51,none,own,1,skilled employee / official,1,none,yes,1
78,no,54,no credits taken,car (used),9436,no,1 <= < 4 years,2,male single,none,2,savings agreement/life insurance,39,none,own,1,unskilled - resident,2,none,yes,1
79,<200,30,existing credits paid back duly till now,furniture/equipment,3832,<100,< 1 year,2,male married/widowed,none,1,savings agreement/life insurance,22,none,own,1,skilled employee / official,1,none,yes,1
80,no,24,existing credits paid back duly till now,radio/television,5943,no,< 1 year,1,female divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee / official,1,yes,yes,0
81,no,15,existing credits paid back duly till now,radio/television,1213,<1000,>= 7 years,4,male single,none,3,savings agreement/life insurance,47,store,own,1,skilled employee / official,1,yes,yes,1
82,no,18,existing credits paid back duly till now,business,1568,<500,1 <= < 4 years,3,female divorced/separated/married,none,4,savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,none,yes,1
83,<0,24,existing credits paid back duly till now,others,1755,<100,>= 7 years,4,female divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,1
84,<0,10,existing credits paid back duly till now,radio/television,2315,<100,>= 7 years,3,male single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,1
85,no,12,critical account,business,1412,<100,1 <= < 4 years,4,female divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/ highly qualified employee,1,yes,yes,1
86,<200,18,critical account,furniture/equipment,1295,<100,< 1 year,4,female divorced/separated/married,none,1,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,1
87,<200,36,existing credits paid back duly till now,education,12612,<500,1 <= < 4 years,1,male single,none,4,no,47,none,for free,1,skilled employee / official,2,yes,yes,0
88,<0,18,existing credits paid back duly till now,car (new),2249,<500,4 <= < 7 years,4,male single,none,3,car or other,30,none,own,1,management/ highly qualified employee,2,yes,yes,1
89,<0,12,no credits taken,repairs,1108,<100,4 <= < 7 years,4,male single,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes,0
90,no,12,critical account,radio/television,618,<100,>= 7 years,4,male single,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes,1
91,<0,12,critical account,car (used),1409,<100,>= 7 years,4,male single,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes,1
92,no,12,critical account,radio/television,797,no,>= 7 years,4,female divorced/separated/married,none,3,savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,none,yes,0
93,>200,24,critical account,furniture/equipment,3617,no,>= 7 years,4,male single,co-applicant,4,no,20,none,rent,2,skilled employee / official,1,none,yes,1
94,<200,12,existing credits paid back duly till now,car (new),1318,>1000,>= 7 years,4,male single,none,4,real estate,54,none,own,1,skilled employee / official,1,yes,yes,1
95,<200,54,no credits taken,business,15945,<100,< 1 year,3,male single,none,4,no,58,none,rent,1,skilled employee / official,1,yes,yes,0
96,no,12,critical account,education,2012,no,4 <= < 7 years,4,female divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee / official,1,none,yes,1
97,<200,18,existing credits paid back duly till now,business,2622,<500,1 <= < 4 years,4,male single,none,4,car or other,34,none,own,1,skilled employee / official,1,none,yes,1
98,<200,36,critical account,radio/television,2337,<100,>= 7 years,4,male single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,1
99,<200,20,delay in paying off,car (used),7057,no,4 <= < 7 years,3,male single,none,4,savings agreement/life insurance,36,bank,rent,2,management/ highly qualified employee,2,yes,yes,1
100,no,24,existing credits paid back duly till now,car (new),1469,<500,>= 7 years,4,male married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes,1
101,<200,36,existing credits paid back duly till now,radio/television,2323,<100,4 <= < 7 years,4,male single,none,4,car or other,24,none,rent,1,skilled employee / official,1,none,yes,1
102,no,6,delay in paying off,radio/television,932,<100,1 <= < 4 years,3,female divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,1
103,<200,9,critical account,furniture/equipment,1919,<100,4 <= < 7 years,4,male single,none,3,car or other,35,none,rent,1,skilled employee / official,1,yes,yes,1
104,no,12,existing credits paid back duly till now,car (used),2445,no,< 1 year,2,male married/widowed,none,4,car or other,26,none,rent,1,skilled employee / official,1,yes,yes,1
105,<200,24,critical account,others,11938,<100,1 <= < 4 years,2,male single,co-applicant,3,car or other,39,none,own,2,management/ highly qualified employee,2,yes,yes,0
106,no,18,all credits at this bank paid back duly,car (new),6458,<100,>= 7 years,2,male single,none,4,no,39,bank,own,2,management/ highly qualified employee,2,yes,yes,0
107,<200,12,existing credits paid back duly till now,car (new),6078,<100,4 <= < 7 years,2,male single,none,2,car or other,32,none,own,1,skilled employee / official,1,none,yes,1
108,<0,24,existing credits paid back duly till now,furniture/equipment,7721,no,< 1 year,1,female divorced/separated/married,none,2,savings agreement/life insurance,30,none,own,1,skilled employee / official,1,yes,no,1
109,<200,14,existing credits paid back duly till now,business,1410,<1000,>= 7 years,1,male married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,yes,yes,1
110,<200,6,delay in paying off,business,1449,<500,>= 7 years,1,male divorced/separated,none,2,car or other,31,bank,own,2,skilled employee / official,2,none,yes,1
111,>200,15,existing credits paid back duly till now,education,392,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,23,none,rent,1,skilled employee / official,1,yes,yes,1
112,<200,18,existing credits paid back duly till now,car (new),6260,<100,4 <= < 7 years,3,male single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,1
113,no,36,critical account,car (new),7855,<100,1 <= < 4 years,4,female divorced/separated/married,none,2,real estate,25,store,own,2,skilled employee / official,1,yes,yes,0
114,<0,12,existing credits paid back duly till now,radio/television,1680,<1000,>= 7 years,3,male married/widowed,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes,1
115,no,48,critical account,radio/television,3578,no,>= 7 years,4,male single,none,1,real estate,47,none,own,1,skilled employee / official,1,yes,yes,1
116,<0,42,existing credits paid back duly till now,radio/television,7174,no,4 <= < 7 years,4,female divorced/separated/married,none,3,car or other,30,none,own,1,management/ highly qualified employee,1,yes,yes,0
117,<0,10,critical account,furniture/equipment,2132,no,< 1 year,2,female divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,none,no,1
118,<0,33,critical account,furniture/equipment,4281,<1000,1 <= < 4 years,1,female divorced/separated/married,none,4,car or other,23,none,own,2,skilled employee / official,1,none,yes,0
119,<200,12,critical account,car (new),2366,<1000,4 <= < 7 years,3,male divorced/separated,none,3,car or other,36,none,own,1,management/ highly qualified employee,1,yes,yes,1
120,<0,21,existing credits paid back duly till now,radio/television,1835,<100,1 <= < 4 years,3,female divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,yes,yes,0
121,no,24,critical account,car (used),3868,<100,>= 7 years,4,female divorced/separated/married,none,2,car or other,41,none,rent,2,management/ highly qualified employee,1,yes,yes,1
122,no,12,existing credits paid back duly till now,furniture/equipment,1768,<100,1 <= < 4 years,3,male single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,1
123,>200,10,critical account,car (new),781,<100,>= 7 years,4,male single,none,4,no,63,none,for free,2,skilled employee / official,1,yes,yes,1
124,<200,18,existing credits paid back duly till now,furniture/equipment,1924,no,< 1 year,4,female divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes,0
125,<0,12,critical account,car (new),2121,<100,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,30,none,own,2,skilled employee / official,1,none,yes,1
126,<0,12,existing credits paid back duly till now,radio/television,701,<100,1 <= < 4 years,4,male married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,1
127,<200,12,existing credits paid back duly till now,repairs,639,<100,1 <= < 4 years,4,male single,none,2,car or other,30,none,own,1,skilled employee / official,1,none,yes,0
128,<200,12,critical account,car (used),1860,<100,unemployed,4,male single,none,2,car or other,34,none,own,2,management/ highly qualified employee,1,yes,yes,1
129,<0,12,critical account,car (new),3499,<100,1 <= < 4 years,3,female divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes,0
130,<200,48,existing credits paid back duly till now,car (new),8487,no,4 <= < 7 years,1,female divorced/separated/married,none,2,car or other,24,none,own,1,skilled employee / official,1,none,yes,1
131,<0,36,delay in paying off,education,6887,<100,1 <= < 4 years,4,male single,none,3,savings agreement/life insurance,29,store,own,1,skilled employee / official,1,yes,yes,0
132,no,15,existing credits paid back duly till now,furniture/equipment,2708,<100,< 1 year,2,male single,none,3,savings agreement/life insurance,27,bank,own,2,unskilled - resident,1,none,yes,1
133,no,18,existing credits paid back duly till now,furniture/equipment,1984,<100,1 <= < 4 years,4,male single,none,4,no,47,bank,for free,2,skilled employee / official,1,none,yes,1
134,no,60,existing credits paid back duly till now,radio/television,10144,<500,4 <= < 7 years,2,female divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,yes,yes,1
135,no,12,critical account,radio/television,1240,no,>= 7 years,4,female divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1,yes,yes,1
136,no,27,delay in paying off,car (used),8613,>1000,1 <= < 4 years,2,male single,none,2,car or other,27,none,own,2,skilled employee / official,1,none,yes,1
137,<200,12,existing credits paid back duly till now,radio/television,766,<1000,1 <= < 4 years,4,male single,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,0
138,<200,15,critical account,radio/television,2728,no,4 <= < 7 years,4,male single,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,yes,yes,1
139,>200,12,existing credits paid back duly till now,radio/television,1881,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled - resident,1,yes,yes,1
140,>200,6,existing credits paid back duly till now,car (new),709,>1000,< 1 year,2,male married/widowed,none,2,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,no,1
141,<200,36,existing credits paid back duly till now,radio/television,4795,<100,< 1 year,4,female divorced/separated/married,none,1,no,30,none,own,1,management/ highly qualified employee,1,yes,yes,1
142,<0,27,existing credits paid back duly till now,radio/television,3416,<100,1 <= < 4 years,3,male single,none,2,car or other,27,none,own,1,management/ highly qualified employee,1,none,yes,1
143,<0,18,existing credits paid back duly till now,furniture/equipment,2462,<100,1 <= < 4 years,2,male single,none,2,car or other,22,none,own,1,skilled employee / official,1,none,yes,0
144,no,21,critical account,furniture/equipment,2288,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,23,none,own,1,skilled employee / official,1,yes,yes,1
145,<200,48,all credits at this bank paid back duly,business,3566,<500,4 <= < 7 years,4,male single,none,2,car or other,30,none,own,1,skilled employee / official,1,none,yes,1
146,<0,6,critical account,car (new),860,<100,>= 7 years,1,female divorced/separated/married,none,4,no,39,none,own,2,skilled employee / official,1,yes,yes,1
147,no,12,critical account,car (new),682,<500,4 <= < 7 years,4,female divorced/separated/married,none,3,car or other,51,none,own,2,skilled employee / official,1,yes,yes,1
148,<0,36,critical account,furniture/equipment,5371,<100,1 <= < 4 years,3,male single,guarantor,2,savings agreement/life insurance,28,none,own,2,skilled employee / official,1,none,yes,1
149,no,18,critical account,radio/television,1582,>1000,>= 7 years,4,male single,none,4,car or other,46,none,own,2,skilled employee / official,1,none,yes,1
150,no,6,existing credits paid back duly till now,radio/television,1346,<500,>= 7 years,2,male single,none,4,no,42,bank,for free,1,skilled employee / official,2,yes,yes,1
151,no,10,existing credits paid back duly till now,radio/television,1924,<100,1 <= < 4 years,1,male single,none,4,savings agreement/life insurance,38,none,own,1,skilled employee / official,1,yes,no,1
152,>200,36,existing credits paid back duly till now,radio/television,5848,<100,1 <= < 4 years,4,male single,none,1,car or other,24,none,own,1,skilled employee / official,1,none,yes,1
153,<200,24,critical account,car (used),7758,>1000,>= 7 years,2,female divorced/separated/married,none,4,no,29,none,rent,1,skilled employee / official,1,none,yes,1
154,<200,24,delay in paying off,business,6967,<500,4 <= < 7 years,4,male single,none,4,car or other,36,none,rent,1,management/ highly qualified employee,1,yes,yes,1
155,<0,12,existing credits paid back duly till now,furniture/equipment,1282,<100,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,0
156,<0,9,critical account,repairs,1288,<500,>= 7 years,3,male single,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,none,no,1
157,<0,12,all credits at this bank paid back duly,retraining,339,<100,>= 7 years,4,male married/widowed,none,1,car or other,45,bank,own,1,unskilled - resident,1,none,yes,1
158,<200,24,existing credits paid back duly till now,car (new),3512,<500,4 <= < 7 years,2,male single,none,3,car or other,38,bank,own,2,skilled employee / official,1,yes,yes,1
159,no,6,critical account,radio/television,1898,no,1 <= < 4 years,1,male single,none,2,real estate,34,none,own,2,unskilled - resident,2,none,yes,1
160,no,24,critical account,radio/television,2872,<500,>= 7 years,3,male single,none,4,real estate,36,none,own,1,skilled employee / official,2,yes,yes,1
161,no,18,critical account,car (new),1055,<100,< 1 year,4,female divorced/separated/married,none,1,savings agreement/life insurance,30,none,own,2,skilled employee / official,1,none,yes,1
162,no,15,existing credits paid back duly till now,domestic appliances,1262,<1000,4 <= < 7 years,4,male single,none,3,savings agreement/life insurance,36,none,own,2,skilled employee / official,1,yes,yes,1
163,<200,10,existing credits paid back duly till now,car (new),7308,<100,unemployed,2,male single,none,4,no,70,bank,for free,1,management/ highly qualified employee,1,yes,yes,1
164,no,36,existing credits paid back duly till now,car (new),909,<1000,>= 7 years,4,male single,none,4,savings agreement/life insurance,36,none,own,1,skilled employee / official,1,none,yes,1
165,no,6,existing credits paid back duly till now,furniture/equipment,2978,<1000,1 <= < 4 years,1,male single,none,2,car or other,32,none,own,1,skilled employee / official,1,yes,yes,1
166,<0,18,existing credits paid back duly till now,furniture/equipment,1131,<100,unemployed,4,female divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee / official,1,none,yes,0
167,<200,11,existing credits paid back duly till now,furniture/equipment,1577,>1000,< 1 year,4,female divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee / official,1,none,yes,1
168,no,24,existing credits paid back duly till now,furniture/equipment,3972,<100,4 <= < 7 years,2,female divorced/separated/married,none,4,savings agreement/life insurance,25,none,rent,1,skilled employee / official,1,yes,yes,1
169,<200,24,critical account,business,1935,<100,>= 7 years,4,male divorced/separated,none,4,real estate,31,none,own,2,skilled employee / official,1,yes,yes,0
170,<0,15,no credits taken,car (new),950,<100,>= 7 years,4,male single,none,3,car or other,33,none,rent,2,skilled employee / official,2,none,yes,0
171,no,12,existing credits paid back duly till now,furniture/equipment,763,<100,1 <= < 4 years,4,female divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,yes,yes,1
172,<200,24,delay in paying off,furniture/equipment,2064,<100,unemployed,3,female divorced/separated/married,none,2,savings agreement/life insurance,34,none,own,1,management/ highly qualified employee,1,yes,yes,0
173,<200,8,existing credits paid back duly till now,radio/television,1414,<100,1 <= < 4 years,4,male single,guarantor,2,real estate,33,none,own,1,skilled employee / official,1,none,no,1
174,<0,21,delay in paying off,education,3414,<100,< 1 year,2,male single,none,1,savings agreement/life insurance,26,none,own,2,skilled employee / official,1,none,yes,0
175,no,30,all credits at this bank paid back duly,car (used),7485,no,unemployed,4,female divorced/separated/married,none,1,real estate,53,bank,own,1,management/ highly qualified employee,1,yes,yes,0
176,<0,12,existing credits paid back duly till now,furniture/equipment,2577,<100,1 <= < 4 years,2,male divorced/separated,none,1,car or other,42,none,own,1,skilled employee / official,1,none,yes,1
