,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,label_value,score
36,no,48,critical account,education,6110,<100,1 <= < 4 years,1,male single,none,3,no,Middle1,bank,for free,1,skilled employee / official,1,yes,yes,1,0.0
37,>200,18,existing credits paid back duly till now,radio/television,2100,<100,1 <= < 4 years,4,male single,co-applicant,2,real estate,Middle2,store,own,1,skilled employee / official,1,none,yes,0,1.0
38,>200,10,existing credits paid back duly till now,domestic appliances,1225,<100,1 <= < 4 years,2,male single,none,2,car or other,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
39,<200,9,existing credits paid back duly till now,radio/television,458,<100,1 <= < 4 years,4,male single,none,3,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
40,no,30,existing credits paid back duly till now,radio/television,2333,<1000,>= 7 years,4,male single,none,2,car or other,Middle1,bank,own,1,management/ highly qualified employee,1,none,yes,1,1.0
41,<200,12,existing credits paid back duly till now,radio/television,1158,<1000,1 <= < 4 years,3,male divorced/separated,none,1,car or other,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
42,<200,18,delay in paying off,repairs,6204,<100,1 <= < 4 years,2,male single,none,4,real estate,Older,none,own,1,unskilled - resident,2,yes,yes,1,0.0
43,<0,30,critical account,car (used),6187,<500,4 <= < 7 years,1,male married/widowed,none,4,car or other,Younger,none,rent,2,skilled employee / official,1,none,yes,1,1.0
44,<0,48,critical account,car (used),6143,<100,>= 7 years,4,female divorced/separated/married,none,4,no,Older,store,for free,2,unskilled - resident,1,none,yes,0,0.0
45,no,11,critical account,car (new),1393,<100,< 1 year,4,female divorced/separated/married,none,4,car or other,Middle2,none,own,2,management/ highly qualified employee,1,none,yes,1,1.0
46,no,36,existing credits paid back duly till now,radio/television,2299,<1000,>= 7 years,4,male single,none,4,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
47,<0,6,existing credits paid back duly till now,car (used),1352,<1000,unemployed,1,female divorced/separated/married,none,2,savings agreement/life insurance,Younger,none,rent,1,unemployed/ unskilled  - non-resident,1,yes,yes,1,1.0
48,no,11,critical account,car (new),7228,<100,1 <= < 4 years,1,male single,none,4,savings agreement/life insurance,Middle2,none,own,2,unskilled - resident,1,none,yes,1,1.0
49,no,12,existing credits paid back duly till now,radio/television,2073,<500,1 <= < 4 years,4,female divorced/separated/married,co-applicant,2,real estate,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
50,<200,24,delay in paying off,furniture/equipment,2333,no,< 1 year,4,male single,none,2,savings agreement/life insurance,Middle1,bank,own,1,unskilled - resident,1,none,yes,1,1.0
51,<200,27,delay in paying off,car (used),5965,<100,>= 7 years,1,male single,none,2,car or other,Middle1,none,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
52,no,12,existing credits paid back duly till now,radio/television,1262,<100,1 <= < 4 years,3,male single,none,2,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
53,no,18,existing credits paid back duly till now,car (used),3378,no,1 <= < 4 years,2,male single,none,1,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,yes,yes,1,1.0
54,<200,36,delay in paying off,car (new),2225,<100,>= 7 years,4,male single,none,4,no,Older,bank,for free,2,skilled employee / official,1,yes,yes,0,0.0
55,no,6,all credits at this bank paid back duly,car (new),783,no,1 <= < 4 years,1,male single,guarantor,2,real estate,Younger,store,own,1,unskilled - resident,2,none,yes,1,1.0
56,<200,12,existing credits paid back duly till now,radio/television,6468,no,unemployed,2,male single,none,1,no,Older,none,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
57,no,36,critical account,radio/television,9566,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,car or other,Middle1,store,own,2,skilled employee / official,1,none,yes,1,1.0
58,>200,18,existing credits paid back duly till now,car (new),1961,<100,>= 7 years,3,female divorced/separated/married,none,2,car or other,Younger,none,own,1,management/ highly qualified employee,1,none,yes,1,1.0
59,<0,36,critical account,furniture/equipment,6229,<100,< 1 year,4,female divorced/separated/married,co-applicant,4,no,Younger,none,rent,2,unskilled - resident,1,yes,yes,0,0.0
60,<200,9,existing credits paid back duly till now,business,1391,<100,1 <= < 4 years,2,male married/widowed,none,1,real estate,Middle1,bank,own,1,skilled employee / official,1,yes,yes,1,1.0
61,<200,15,critical account,radio/television,1537,no,>= 7 years,4,male single,guarantor,4,real estate,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
62,<200,36,no credits taken,business,1953,<100,>= 7 years,4,male single,none,4,no,Older,none,for free,1,management/ highly qualified employee,1,yes,yes,0,0.0
63,<200,48,no credits taken,business,14421,<100,1 <= < 4 years,2,male single,none,2,car or other,Younger,none,own,1,skilled employee / official,1,yes,yes,0,0.0
64,no,24,existing credits paid back duly till now,radio/television,3181,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
65,no,27,existing credits paid back duly till now,repairs,5190,no,>= 7 years,4,male single,none,4,savings agreement/life insurance,Older,none,own,4,skilled employee / official,2,yes,yes,1,1.0
66,no,12,existing credits paid back duly till now,radio/television,2171,<100,< 1 year,2,female divorced/separated/married,none,2,car or other,Middle1,bank,own,1,skilled employee / official,1,none,yes,1,1.0
67,<200,12,existing credits paid back duly till now,car (new),1007,>1000,1 <= < 4 years,4,male married/widowed,none,1,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,1,0.0
68,no,36,existing credits paid back duly till now,education,1819,<100,1 <= < 4 years,4,male single,none,4,no,Middle2,store,for free,1,skilled employee / official,1,yes,yes,0,0.0
69,no,36,existing credits paid back duly till now,radio/television,2394,no,1 <= < 4 years,4,female divorced/separated/married,none,4,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
70,no,36,existing credits paid back duly till now,car (used),8133,<100,1 <= < 4 years,1,female divorced/separated/married,none,2,savings agreement/life insurance,Middle1,bank,own,1,skilled employee / official,1,none,yes,1,1.0
71,no,7,critical account,radio/television,730,no,>= 7 years,4,male single,none,2,savings agreement/life insurance,Older,none,rent,2,unskilled - resident,1,yes,yes,1,1.0
72,<0,8,critical account,others,1164,<100,>= 7 years,3,male single,none,4,no,Older,bank,for free,2,management/ highly qualified employee,2,yes,yes,1,0.0
73,<200,42,critical account,business,5954,<100,4 <= < 7 years,2,female divorced/separated/married,none,1,real estate,Middle2,bank,own,2,unskilled - resident,1,none,yes,1,1.0
74,<0,36,existing credits paid back duly till now,education,1977,no,>= 7 years,4,male single,none,4,no,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,0,0.0
75,<0,12,critical account,car (used),1526,<100,>= 7 years,4,male single,none,4,no,Older,none,for free,2,management/ highly qualified employee,1,none,yes,1,1.0
76,<0,42,existing credits paid back duly till now,radio/television,3965,<100,< 1 year,4,male single,none,3,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,0,0.0
77,<200,11,delay in paying off,radio/television,4771,<100,4 <= < 7 years,2,male single,none,4,savings agreement/life insurance,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
78,no,54,no credits taken,car (used),9436,no,1 <= < 4 years,2,male single,none,2,savings agreement/life insurance,Middle2,none,own,1,unskilled - resident,2,none,yes,1,1.0
79,<200,30,existing credits paid back duly till now,furniture/equipment,3832,<100,< 1 year,2,male married/widowed,none,1,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
80,no,24,existing credits paid back duly till now,radio/television,5943,no,< 1 year,1,female divorced/separated/married,none,1,car or other,Older,none,own,2,skilled employee / official,1,yes,yes,0,1.0
81,no,15,existing credits paid back duly till now,radio/television,1213,<1000,>= 7 years,4,male single,none,3,savings agreement/life insurance,Older,store,own,1,skilled employee / official,1,yes,yes,1,1.0
82,no,18,existing credits paid back duly till now,business,1568,<500,1 <= < 4 years,3,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,unskilled - resident,1,none,yes,1,1.0
83,<0,24,existing credits paid back duly till now,others,1755,<100,>= 7 years,4,female divorced/separated/married,guarantor,4,real estate,Older,none,own,1,unskilled - resident,1,yes,yes,1,1.0
84,<0,10,existing credits paid back duly till now,radio/television,2315,<100,>= 7 years,3,male single,none,4,real estate,Older,none,own,1,unskilled - resident,1,none,yes,1,1.0
85,no,12,critical account,business,1412,<100,1 <= < 4 years,4,female divorced/separated/married,guarantor,2,real estate,Middle1,none,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
86,<200,18,critical account,furniture/equipment,1295,<100,< 1 year,4,female divorced/separated/married,none,1,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
87,<200,36,existing credits paid back duly till now,education,12612,<500,1 <= < 4 years,1,male single,none,4,no,Older,none,for free,1,skilled employee / official,2,yes,yes,0,0.0
88,<0,18,existing credits paid back duly till now,car (new),2249,<500,4 <= < 7 years,4,male single,none,3,car or other,Middle1,none,own,1,management/ highly qualified employee,2,yes,yes,1,0.0
89,<0,12,no credits taken,repairs,1108,<100,4 <= < 7 years,4,male single,none,3,real estate,Middle1,none,own,2,skilled employee / official,1,none,yes,0,1.0
90,no,12,critical account,radio/television,618,<100,>= 7 years,4,male single,none,4,real estate,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
91,<0,12,critical account,car (used),1409,<100,>= 7 years,4,male single,none,3,real estate,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
92,no,12,critical account,radio/television,797,no,>= 7 years,4,female divorced/separated/married,none,3,savings agreement/life insurance,Middle2,bank,own,1,unskilled - resident,2,none,yes,0,1.0
93,>200,24,critical account,furniture/equipment,3617,no,>= 7 years,4,male single,co-applicant,4,no,Younger,none,rent,2,skilled employee / official,1,none,yes,1,1.0
94,<200,12,existing credits paid back duly till now,car (new),1318,>1000,>= 7 years,4,male single,none,4,real estate,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
95,<200,54,no credits taken,business,15945,<100,< 1 year,3,male single,none,4,no,Older,none,rent,1,skilled employee / official,1,yes,yes,0,0.0
96,no,12,critical account,education,2012,no,4 <= < 7 years,4,female divorced/separated/married,none,2,car or other,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
97,<200,18,existing credits paid back duly till now,business,2622,<500,1 <= < 4 years,4,male single,none,4,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
98,<200,36,critical account,radio/television,2337,<100,>= 7 years,4,male single,none,4,real estate,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
99,<200,20,delay in paying off,car (used),7057,no,4 <= < 7 years,3,male single,none,4,savings agreement/life insurance,Middle2,bank,rent,2,management/ highly qualified employee,2,yes,yes,1,1.0
100,no,24,existing credits paid back duly till now,car (new),1469,<500,>= 7 years,4,male married/widowed,none,4,real estate,Middle2,none,rent,1,unskilled - resident,1,none,yes,1,1.0
101,<200,36,existing credits paid back duly till now,radio/television,2323,<100,4 <= < 7 years,4,male single,none,4,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
102,no,6,delay in paying off,radio/television,932,<100,1 <= < 4 years,3,female divorced/separated/married,none,2,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
103,<200,9,critical account,furniture/equipment,1919,<100,4 <= < 7 years,4,male single,none,3,car or other,Middle2,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
104,no,12,existing credits paid back duly till now,car (used),2445,no,< 1 year,2,male married/widowed,none,4,car or other,Younger,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
105,<200,24,critical account,others,11938,<100,1 <= < 4 years,2,male single,co-applicant,3,car or other,Middle2,none,own,2,management/ highly qualified employee,2,yes,yes,0,1.0
106,no,18,all credits at this bank paid back duly,car (new),6458,<100,>= 7 years,2,male single,none,4,no,Middle2,bank,own,2,management/ highly qualified employee,2,yes,yes,0,0.0
107,<200,12,existing credits paid back duly till now,car (new),6078,<100,4 <= < 7 years,2,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
108,<0,24,existing credits paid back duly till now,furniture/equipment,7721,no,< 1 year,1,female divorced/separated/married,none,2,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,yes,no,1,1.0
109,<200,14,existing credits paid back duly till now,business,1410,<1000,>= 7 years,1,male married/widowed,none,2,real estate,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
110,<200,6,delay in paying off,business,1449,<500,>= 7 years,1,male divorced/separated,none,2,car or other,Middle1,bank,own,2,skilled employee / official,2,none,yes,1,1.0
111,>200,15,existing credits paid back duly till now,education,392,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
112,<200,18,existing credits paid back duly till now,car (new),6260,<100,4 <= < 7 years,3,male single,none,3,real estate,Middle1,none,rent,1,unskilled - resident,1,none,yes,1,0.0
113,no,36,critical account,car (new),7855,<100,1 <= < 4 years,4,female divorced/separated/married,none,2,real estate,Younger,store,own,2,skilled employee / official,1,yes,yes,0,1.0
114,<0,12,existing credits paid back duly till now,radio/television,1680,<1000,>= 7 years,3,male married/widowed,none,1,real estate,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
115,no,48,critical account,radio/television,3578,no,>= 7 years,4,male single,none,1,real estate,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
116,<0,42,existing credits paid back duly till now,radio/television,7174,no,4 <= < 7 years,4,female divorced/separated/married,none,3,car or other,Middle1,none,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
117,<0,10,critical account,furniture/equipment,2132,no,< 1 year,2,female divorced/separated/married,co-applicant,3,real estate,Middle1,none,rent,2,skilled employee / official,1,none,no,1,1.0
118,<0,33,critical account,furniture/equipment,4281,<1000,1 <= < 4 years,1,female divorced/separated/married,none,4,car or other,Younger,none,own,2,skilled employee / official,1,none,yes,0,1.0
119,<200,12,critical account,car (new),2366,<1000,4 <= < 7 years,3,male divorced/separated,none,3,car or other,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
120,<0,21,existing credits paid back duly till now,radio/television,1835,<100,1 <= < 4 years,3,female divorced/separated/married,none,2,real estate,Younger,none,own,2,skilled employee / official,1,yes,yes,0,1.0
121,no,24,critical account,car (used),3868,<100,>= 7 years,4,female divorced/separated/married,none,2,car or other,Middle2,none,rent,2,management/ highly qualified employee,1,yes,yes,1,1.0
122,no,12,existing credits paid back duly till now,furniture/equipment,1768,<100,1 <= < 4 years,3,male single,none,2,real estate,Younger,none,rent,1,unskilled - resident,1,none,yes,1,1.0
123,>200,10,critical account,car (new),781,<100,>= 7 years,4,male single,none,4,no,Older,none,for free,2,skilled employee / official,1,yes,yes,1,1.0
124,<200,18,existing credits paid back duly till now,furniture/equipment,1924,no,< 1 year,4,female divorced/separated/married,none,3,real estate,Middle1,none,rent,1,skilled employee / official,1,none,yes,0,1.0
125,<0,12,critical account,car (new),2121,<100,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
126,<0,12,existing credits paid back duly till now,radio/television,701,<100,1 <= < 4 years,4,male married/widowed,none,2,real estate,Middle2,none,own,1,unskilled - resident,1,none,yes,1,0.0
127,<200,12,existing credits paid back duly till now,repairs,639,<100,1 <= < 4 years,4,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,0,1.0
128,<200,12,critical account,car (used),1860,<100,unemployed,4,male single,none,2,car or other,Middle2,none,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
129,<0,12,critical account,car (new),3499,<100,1 <= < 4 years,3,female divorced/separated/married,co-applicant,2,real estate,Middle1,none,own,2,skilled employee / official,1,none,yes,0,1.0
130,<200,48,existing credits paid back duly till now,car (new),8487,no,4 <= < 7 years,1,female divorced/separated/married,none,2,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
131,<0,36,delay in paying off,education,6887,<100,1 <= < 4 years,4,male single,none,3,savings agreement/life insurance,Middle1,store,own,1,skilled employee / official,1,yes,yes,0,0.0
132,no,15,existing credits paid back duly till now,furniture/equipment,2708,<100,< 1 year,2,male single,none,3,savings agreement/life insurance,Middle1,bank,own,2,unskilled - resident,1,none,yes,1,1.0
133,no,18,existing credits paid back duly till now,furniture/equipment,1984,<100,1 <= < 4 years,4,male single,none,4,no,Older,bank,for free,2,skilled employee / official,1,none,yes,1,1.0
134,no,60,existing credits paid back duly till now,radio/television,10144,<500,4 <= < 7 years,2,female divorced/separated/married,none,4,real estate,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
135,no,12,critical account,radio/television,1240,no,>= 7 years,4,female divorced/separated/married,none,2,real estate,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
136,no,27,delay in paying off,car (used),8613,>1000,1 <= < 4 years,2,male single,none,2,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
137,<200,12,existing credits paid back duly till now,radio/television,766,<1000,1 <= < 4 years,4,male single,none,3,real estate,Older,none,own,1,unskilled - resident,1,none,yes,0,1.0
138,<200,15,critical account,radio/television,2728,no,4 <= < 7 years,4,male single,guarantor,2,real estate,Middle2,bank,own,3,skilled employee / official,1,yes,yes,1,1.0
139,>200,12,existing credits paid back duly till now,radio/television,1881,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,car or other,Older,none,rent,1,unskilled - resident,1,yes,yes,1,1.0
140,>200,6,existing credits paid back duly till now,car (new),709,>1000,< 1 year,2,male married/widowed,none,2,real estate,Middle1,none,own,1,unemployed/ unskilled  - non-resident,1,none,no,1,1.0
141,<200,36,existing credits paid back duly till now,radio/television,4795,<100,< 1 year,4,female divorced/separated/married,none,1,no,Middle1,none,own,1,management/ highly qualified employee,1,yes,yes,1,0.0
142,<0,27,existing credits paid back duly till now,radio/television,3416,<100,1 <= < 4 years,3,male single,none,2,car or other,Middle1,none,own,1,management/ highly qualified employee,1,none,yes,1,1.0
143,<0,18,existing credits paid back duly till now,furniture/equipment,2462,<100,1 <= < 4 years,2,male single,none,2,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
144,no,21,critical account,furniture/equipment,2288,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
145,<200,48,all credits at this bank paid back duly,business,3566,<500,4 <= < 7 years,4,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,0.0
146,<0,6,critical account,car (new),860,<100,>= 7 years,1,female divorced/separated/married,none,4,no,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
147,no,12,critical account,car (new),682,<500,4 <= < 7 years,4,female divorced/separated/married,none,3,car or other,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
148,<0,36,critical account,furniture/equipment,5371,<100,1 <= < 4 years,3,male single,guarantor,2,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
149,no,18,critical account,radio/television,1582,>1000,>= 7 years,4,male single,none,4,car or other,Older,none,own,2,skilled employee / official,1,none,yes,1,1.0
150,no,6,existing credits paid back duly till now,radio/television,1346,<500,>= 7 years,2,male single,none,4,no,Older,bank,for free,1,skilled employee / official,2,yes,yes,1,1.0
151,no,10,existing credits paid back duly till now,radio/television,1924,<100,1 <= < 4 years,1,male single,none,4,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,1,yes,no,1,1.0
152,>200,36,existing credits paid back duly till now,radio/television,5848,<100,1 <= < 4 years,4,male single,none,1,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
153,<200,24,critical account,car (used),7758,>1000,>= 7 years,2,female divorced/separated/married,none,4,no,Middle1,none,rent,1,skilled employee / official,1,none,yes,1,1.0
154,<200,24,delay in paying off,business,6967,<500,4 <= < 7 years,4,male single,none,4,car or other,Middle2,none,rent,1,management/ highly qualified employee,1,yes,yes,1,0.0
155,<0,12,existing credits paid back duly till now,furniture/equipment,1282,<100,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,0,1.0
156,<0,9,critical account,repairs,1288,<500,>= 7 years,3,male single,guarantor,4,real estate,Older,none,own,2,skilled employee / official,2,none,no,1,1.0
157,<0,12,all credits at this bank paid back duly,retraining,339,<100,>= 7 years,4,male married/widowed,none,1,car or other,Older,bank,own,1,unskilled - resident,1,none,yes,1,0.0
158,<200,24,existing credits paid back duly till now,car (new),3512,<500,4 <= < 7 years,2,male single,none,3,car or other,Middle2,bank,own,2,skilled employee / official,1,yes,yes,1,0.0
159,no,6,critical account,radio/television,1898,no,1 <= < 4 years,1,male single,none,2,real estate,Middle2,none,own,2,unskilled - resident,2,none,yes,1,1.0
160,no,24,critical account,radio/television,2872,<500,>= 7 years,3,male single,none,4,real estate,Middle2,none,own,1,skilled employee / official,2,yes,yes,1,1.0
161,no,18,critical account,car (new),1055,<100,< 1 year,4,female divorced/separated/married,none,1,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
162,no,15,existing credits paid back duly till now,domestic appliances,1262,<1000,4 <= < 7 years,4,male single,none,3,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
163,<200,10,existing credits paid back duly till now,car (new),7308,<100,unemployed,2,male single,none,4,no,Older,bank,for free,1,management/ highly qualified employee,1,yes,yes,1,0.0
